input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0,output_v1
45,5.484367619852426,-2.9767101086517136,-0.12378337732477447,-0.25472625837365326,1.153487637052274,-0.20000000999727705,-0.18322688073487975
40,-0.88325138206606,1.2508882617572512,0.8517012753064837,1.0064670948299677,-0.1215547663601115,-0.2128234599483676,-0.1168212555996971
26,-0.349493094106868,1.9747543235166212,1.238533390564084,1.38414577427694,0.1999436105159161,0.193506545828906,0.1950199061355967
1,0.0065359824573526,0.1436072934469691,1.770704212851407,1.4559215059493709,-0.1992330805112334,0.3046905162886284,-0.1800099807211566
16,-0.3226113680196251,1.1507436488417422,1.6096525474415373,1.7655345426804627,0.1999879752615544,-0.0154236924521532,0.1978025729367136
30,-0.3757492488722707,1.9432558532924191,1.5156465672848127,1.1652658810172316,-0.1986260306783776,0.1293175536675538,-0.1821190370993829
4,0.07734410920053053,0.43555581755427614,1.361221464407171,1.5470431030706664,0.46970022615167306,-0.19974569861222996,-0.20498493649678673
37,3.52884947081758,-1.154374380741641,-1.0442168617698089,-1.1970221427493246,0.46368778842894204,0.20000000993315806,0.2047274573067137
13,-0.1786177386912467,0.8729263160907678,1.7604907807180077,2.036717368069111,0.199980750342402,-0.039608992424978,0.1934800046888241
27,-0.3387643312176287,2.1270539498874155,1.1838417213770676,1.3587610913109236,0.0291228712084882,0.2894375672058837,0.0236414274435371
28,-0.3575779606899198,1.986904618191592,1.444105603189462,1.2526249790865809,0.0006025100806057,0.2403507018570547,0.0051656766213574
49,-1.0986020194742607,0.6242970052032816,1.7765620044013404,0.9196084255981865,0.2000000099680743,0.6383960197941758,0.1792018911916574
15,-0.3130042355716305,1.0023080599671188,1.642168150690756,1.770801380299012,0.1999912501121933,-0.1292232010482158,0.1999966114424104
9,0.152979970766726,1.4592756959735547,0.8133404599012648,1.1923453099740784,0.028147186222247114,-0.19999483642697113,-0.18684329728383334
16,-0.12420314583761387,1.5203033476411956,2.3699334948146027,0.6537953592490089,-0.6459107076885563,0.19999190855899185,-0.09287500890818992
3,0.017219177741287443,0.9063671308071762,1.3247176299235122,1.4332392585846023,0.33114641438441317,-0.19738702590822074,-0.19981246346134907
10,0.04370873260324527,1.824050708886199,1.085193589532671,1.6059383776016136,0.15843793042435514,-0.19999994944356686,-0.18137243425424657
1,-0.07947139127664724,0.14144766325840497,1.6707664637601383,1.5191669829489636,0.2214944702839948,-0.19989522104222968,-0.19425758318368513
3,-0.085001273787696,0.1256007011053021,1.930977795926488,1.3710192591972394,-0.1615317190999911,0.2166414062285655,-0.1253552007528105
36,3.5282393276276873,0.9257870780354605,-1.4246175187912697,-1.2824457664716924,0.6799094352397217,-0.20000000992664607,-0.20761599179006712
35,4.267539864499513,0.6714896825820299,-1.333300877087978,-1.2272486593408738,0.9317055587966533,-0.20000000999640066,-0.2087387889381017
27,2.6561206989372925,1.899971764733776,-0.8723957014400755,-0.6818585016640756,0.31557384757196333,-0.20000000999864995,-0.20235707700937106
27,2.8292590092080387,1.2391508456615965,-1.0193203423842014,-0.8312379028324891,0.3155738475719649,-0.20000000999864995,-0.20237338306522942
8,-0.0224503438134299,0.4566158091406806,2.198048703817171,2.020242477910039,0.1999226507640217,-0.3463430525379832,0.1906448875930677
4,-0.1074286662648072,0.0518401923651799,2.008508822448525,1.1466661768102095,0.1445138097198484,0.2644712604421883,0.114158778757212
37,6.129287618663252,-0.20883243557808345,-0.8295856527013489,-0.6928980487170824,0.4636877873560867,0.20000000999820844,0.19181624735623723
2,-0.10688228402882786,0.0899865106196637,1.6840207548455872,1.4749707857953187,0.34960595734443894,-0.19981924838111437,-0.18821349192225853
14,-0.2240627607110356,1.0467979396210052,1.7136977674685197,1.919313488302836,0.1999911771766954,0.0366889527026718,0.1950293765430669
35,-0.6268369219121585,1.597334348572657,0.9685150710942084,0.8757017946251763,-0.1999966751954462,-0.114155633988779,-0.2001938726160327
35,-0.5768645412711315,1.6565313538357544,0.9549712017099335,0.9107610961237744,-0.1999999192745048,0.0821420175128771,-0.1994414654028044
7,0.043242660663162576,1.3485481723407202,1.1981880765072095,1.3461532388282258,0.7374854689820288,-0.19999256160839066,-0.20867970666202193
27,3.1495760746189783,1.552586961581495,-0.8829798810832487,-0.6923083344398157,0.3155738475719412,-0.20000000999864995,-0.20235614939858526
12,-0.1824086212290508,0.7969828574629626,1.7669624537524675,2.0328633890617533,0.1999777420947698,-0.1128714943994801,0.1959157753750818
20,-0.3058815223247105,1.5141441999722869,1.686253936412772,1.7670709979666002,0.0599825883407022,-0.2108684303718666,0.061489132060741
40,-0.894742774265729,1.2311422371970628,0.6980985707568274,1.106059976429265,-0.1999999030930283,0.385200476745415,-0.1988686148403508
45,4.614410934186976,-2.81595349068818,-0.42069822465703366,-0.5503561444115299,1.1534876370640708,-0.20000000999727682,-0.1834072344757886
10,0.20184354901112317,1.386011156109616,0.9635935184207041,1.2090717378144022,0.2698376944762562,-0.1999999697942493,-0.20056181648738272
47,5.014031822627496,-3.3434594534421076,-0.5949442618202012,-0.5551605699633329,1.614326435199175,-0.20000000999481654,-0.2062624491635032
35,3.3877158131662983,-0.6815891755071157,-1.2442168717045314,-1.3535750958412287,0.508801045813198,0.2000000099341639,0.2043583531508262
21,-0.3513877262274597,1.5640957831276616,1.533169539715999,1.707693401138227,0.1948717792618704,-0.0923291325001694,0.1935147419094718
21,-0.3539353231006555,1.8545417944773448,1.2581019469078858,1.488367069445104,0.1315035354052051,0.0965620122388994,0.1258287309896646
18,-0.3341444859677975,1.3529672556402077,1.6311068918945215,1.723575686795071,0.1997690012791674,-0.1143316990402477,0.1999712549057529
6,0.126608266837876,1.1994351862795858,0.9974695939234968,1.2483775349186546,-0.059013921022675504,-0.19996112830099408,-0.1922346055974536
6,0.04029436279724026,1.6019694173862686,1.4055113539270279,1.4278346892039206,0.2483004051217836,-0.19993984902918097,-0.20044427623956204
48,6.100074960944575,-3.18303124033441,-0.7317518875966587,-0.6830204930504468,4.999081911120742,0.20000000998842438,0.17541099960826545
5,-0.07288305521241097,0.9358218138187255,1.5802089856560864,1.509441897860554,0.03857215501024151,-0.19988210544733095,-0.1991090752914557
32,2.7547150158878515,2.0265188826167075,-0.9272351083135361,-0.7479106253458061,0.5550527875455139,-0.20000000997766382,-0.20669308611315557
15,-0.2837084488597818,1.0050087005382256,1.6054684722297603,1.8395954690642773,0.2000000099931815,0.1522274548560978,0.1910118744726039
33,-0.5041337006325236,1.7661789663476777,1.2922709271265846,0.8828887397949088,-0.1139359754466237,-0.5003714429450908,-0.1244380113182088
36,-0.7301688369948482,1.4884972690730764,0.8755814651474392,0.8973156231079688,-0.1999725821099067,-0.0575352707858791,-0.1998003148609275
46,-1.0397180332579077,0.7369872615226662,1.497617081351828,1.3279475584315692,0.1689931170793607,0.1172584058719165,0.1685464672521825
36,6.663776889083479,1.2803521125266202,3.230621016118255,0.10409339204400817,-0.6984955071925977,-0.07949926763422174,0.07843800068206733
33,3.4242455366227698,1.2901627021182298,-1.2317519125660168,-1.090812849834871,0.7032860954708503,-0.20000000999663656,-0.2078961795746312
26,3.4327355328518188,0.8511833880989077,-0.12958561770459895,-0.20488531513662636,0.444058254368099,-0.20000000999730347,-0.19609268713538328
44,5.342685434784631,-2.147520628065934,-0.25090250795526725,-0.3818206698334016,0.6207674249201518,0.20000000999865045,0.20639227748864064
0,-0.0999999999999998,0.2166666666666666,1.5707963267948966,1.5707963267948966,-0.4128075021401451,0.12677282556665864,0.12677282556665864
23,-0.3744440441121347,1.7294131698668709,1.3923989444203753,1.5574748652041182,0.1988780181034723,-0.214774894402155,0.1997037830609294
5,0.10389628213620408,1.2389869912785296,1.1313853782252048,1.333078736276473,0.08797743941157063,-0.19997576829966107,-0.1976844505705601
46,-1.056908852804886,0.6685844483576503,1.5039048952026404,1.3008420071233702,0.2000000096521896,0.069866506934125,0.1972997048413572
43,-0.9966166556345818,0.9538721325936046,1.1436252504775606,1.3174567058514686,-0.1999999324047889,-0.0458222669036375,-0.1961932676993558
31,-0.4129843622419278,1.9361978857744664,1.4882693860458358,1.094749975326864,-0.1999189130463058,-0.127600917709735,-0.1895309147331306
46,-1.0243919614293993,0.8171267245617172,1.334583328309759,1.3949685539462988,-0.1580731528585114,0.4868373942981976,-0.1607230357133925
38,-0.784016473780586,1.3969677059843355,0.8932340438753678,0.970059601320768,-0.1999999125603043,0.0202299852757651,-0.199565251580723
42,-0.9557928225706682,1.1357947422278023,0.7905950589615656,1.2426014398168836,-0.1999999900262005,0.3191078798241717,-0.1938522240936779
