input_theta1,input_x1,input_y1,input_theta0,output_delta0,output_v0
0,0.01,1,0,0.5235985442854968,0.19999997254662014
-0.015155465530085,0.1515539238671,0.99750997325679,0.23949328418672,0.5235986740211511,0.19999997354602095
0.065283797487137,0.29130804373761,1.0001265547483,0.4789866413252,0.13613550981859912,0.19999998379762732
0.21387012108959,0.42260975349439,1.0190765671526,0.53580912555404,-0.5235984049109218,0.19999999441073865
0.34855793988741,0.55190872610938,1.0585881039052,0.29631589227192,0.5081522399824449,-0.19999991583273466
0.53564046704958,0.43432937488752,1.0054901772615,0.065290965202842,-0.14935200485692415,-0.19999997622333987
0.75983321877824,0.33610198616553,0.93226899861113,0.12770917432845,-0.30368745737953445,0.19406547240714223
0.5449852725119,0.43170479598836,1.0047357743878,0.0015713141511829,-0.260584986348062,-0.19999998139821148
0.77813368959394,0.33550390599065,0.93068028616779,0.11218085440907,-0.08377615426084682,0.19999991768525857
0.54122289982703,0.43108270690486,1.003424273215,0.077347749241691,-0.14057803613044836,-0.19999997666578156
0.7643117865112,0.33309008626071,0.9296243861451,0.13604879181479,-0.30368749359680647,0.18173838850502572
0.56331744484564,0.42185959657693,0.99858756978881,0.017923222834123,-0.26668931153001457,-0.19999996165813427
0.79590961042581,0.32692352280562,0.92271381900769,0.13124941169819,-0.08377592370967132,0.19999997613509157
0.55942615461692,0.42123734150285,0.99721584897707,0.096416392661256,-0.14271244997849342,-0.19999996716387902
0.78154730521385,0.32444243388399,0.9215790322268,0.15602082331876,-0.30368748774130533,0.18307373656231507
0.58004674082201,0.4127924077433,0.99265388968182,0.03702731275131,-0.26537884375098614,-0.19999998335625055
0.81178175002827,0.31899638392039,0.91514946082223,0.14976954864591,-0.08377613173805849,0.19999991791040214
0.57617457964365,0.41220137611599,0.99128481489063,0.11493645284798,-0.14249545785697104,-0.19999994804280724
0.79745024843746,0.31654863369723,0.91398610835772,0.17444901071394,-0.30368747655864636,0.18556160201338973
0.59421933483798,0.40512973064846,0.98746132713014,0.053838452370554,-0.2585417073292471,-0.19999997762103233
0.82636657974347,0.31252504666334,0.90869866376851,0.16354063722996,-0.08377620054927426,0.1999999031079411
0.59049005976891,0.40458417195757,0.98614008286321,0.12870751526493,-0.1456088270345986,-0.19999995003957063
0.81126812530536,0.30996450250548,0.90743702593188,0.18953872069056,-0.3036874701428626,0.18888200745276185
0.60508443031292,0.39928486488822,0.98339168030307,0.066769981789201,-0.2574379443237282,-0.1999999775954646
0.83647537467811,0.30741683731909,0.90357731955431,0.17598242992066,-0.08377617345777506,0.19999991289947697
0.60137135005986,0.39876026235027,0.98207552445746,0.14114931756748,-0.14499138259379984,-0.19999990817606678
0.82150928901895,0.30489987560833,0.90230831778237,0.20171890089834,-0.30368735468599667,0.19024032902358023
0.61458620424696,0.39419155363037,0.97976790426684,0.078067335841437,-0.261169886005836,-0.1999999590679313
0.84412642654264,0.3027716688047,0.89892884087888,0.18893678023056,-0.08377597025451311,0.19999996473908097
0.61078103961424,0.3936710794109,0.97841990859991,0.15410374373478,-0.14116883971198085,-0.19999990697863126
0.83006635542298,0.30043161757584,0.89773087578941,0.21305476847622,-0.3036874802910413,0.18481813621934678
0.62949672136242,0.38633761582425,0.97407148239311,0.092927443366411,-0.2645732628411292,-0.1999999835675043
0.85819379197681,0.29598852539438,0.89179781444916,0.20531090626531,-0.0837763504697109,0.19999985855464228
0.62561463589421,0.38582736498161,0.97268912042589,0.17047772943224,-0.14001754397240346,-0.19999990146566693
0.84440176768318,0.29371667887596,0.8905964039897,0.22894161244768,-0.3036874587817369,0.1912586196200341
0.6378738203583,0.38183698010739,0.97068455267676,0.10462813803806,-0.25624738358218735,-0.19999992204100311
0.86701953533925,0.29226858290736,0.88773264708738,0.21331262629463,-0.08377629781031239,0.19999985900227477
0.63416662457499,0.38136665335219,0.96936725580823,0.17847947138151,-0.14250044045358234,-0.19999990253340255
0.8526147834761,0.28990635583563,0.88645748447416,0.23799412510303,-0.3036874436804314,0.19551417040691704
0.64212052866138,0.37955067240752,0.96893559227999,0.11091465238885,-0.25909591945276733,-0.19999992273622363
0.86951113563797,0.29004507330227,0.88545520694012,0.22086281728482,-0.08377601440905919,0.19999995495344294
0.63834005320643,0.37908124131322,0.96759652559994,0.18602976404825,-0.13967818543701482,-0.1999999837120615
