input_theta1,input_x1,input_y1,input_theta0,output_delta0,output_v0
0,0.01,1,0,0.5235985442854968,0.19999997254662014
0,1,0,0,0.0,-0.1999996706020207
0,0.01,-1,0,-0.523598698053189,0.19999999641258226
0,-1,0,0,0.0,0.19999988687241393
1.5707963267949,0.01,1,1.5707963267949,0.2563614506021232,-0.19999997108161616
1.5707963267949,1,0,1.5707963267949,-0.5235986970755605,0.1999999758471053
1.5707963267949,0.01,-1,1.5707963267949,-0.010835913108755672,0.1999999496746688
1.5707963267949,-1,0,1.5707963267949,0.20881619158595466,-0.20000000106924065
3.1415926535898,0.01,1,3.1415926535898,0.5235987712700122,0.20000000168164267
3.1415926535898,1,0,3.1415926535898,-0.5235987789225663,0.2000000019346401
3.1415926535898,0.01,-1,3.1415926535898,-0.523598780872718,0.20000000582324207
3.1415926535898,-1,0,3.1415926535898,-0.3036873252319076,0.20000000629682263
4.7123889803847,0.01,1,4.7123889803847,0.06982609464021623,0.20000000910800092
4.7123889803847,1,0,4.7123889803847,-0.523598648008832,0.2000000077187096
4.7123889803847,0.01,-1,4.7123889803847,-0.5235987839227159,0.20000000837452858
4.7123889803847,-1,0,4.7123889803847,-0.4113380067021385,-0.2000000071342484
