input_theta1,input_x1,input_y1,input_theta0,input_index,output_v0,output_delta0,exec_time_sec
1.044409808,-0.152352378,0.195223168,1.763980541,42,-0.05528157174061506,0.3093736010115418,58.61819243431091
1.032905273,-0.152209086,0.195466278,1.791392806,43,0.16743381510176994,0.2825105572775108,64.47421789169312
1.030808774,-0.150636849,0.198095339,1.81727775,44,0.15356660724312018,0.2753730070759564,55.63490271568298
1.036080098,-0.148069087,0.20240456,1.842071441,45,0.14020088646783438,0.3231216056357768,62.00623655319214
1.045347035,-0.145062934,0.207533915,1.866174409,46,0.19980357167237345,0.2852259145271707,58.407766580581665
1.055756722,-0.14201193,0.212859224,1.890239033,47,0.1806464163348214,0.2360001194914052,51.7111918926239
1.067700505,-0.138889686,0.218452921,1.914056358,48,0.19995824680241414,0.2373020174451947,55.21868705749512
1.081701137,-0.135658025,0.224423382,1.937421068,49,0.19996993904430205,0.2203182174661504,58.02763557434082
1.09784081,-0.1323283,0.230802901,1.96029183,50,0.1999741628606734,0.16219762644518373,56.50599765777588
1.116182112,-0.128905681,0.237645562,1.982790381,51,0.19998403724745661,0.15902994663604914,57.29758071899414
1.136672412,-0.125416134,0.244974446,2.004941663,52,0.19999489891509228,0.13026030550539647,52.717894554138184
1.570796327,-0.077777778,0.216666667,1.570796327,0,0.19990317868231586,-0.27477386859759717,53.35616064071655
1.574605699,-0.077806498,0.231233541,1.558161042,1,0.19997059312299897,-0.6121956375574782,71.09951829910278
1.580282666,-0.077908351,0.246292941,1.53659269,2,0.19994931789968057,-0.1744312906432187,58.15442514419556
1.586721453,-0.07811375,0.262256899,1.507479266,3,0.1999791034447213,-0.291284144860219,59.47719740867615
1.591864372,-0.078415199,0.27840928,1.47639258,4,0.19992072101234382,-0.3421962557195015,53.891793966293335
1.593997012,-0.078784191,0.294973374,1.448464889,5,0.19991958779952873,-0.370762052806514,57.509013652801514
1.593354445,-0.079158475,0.311255639,1.424886654,6,0.1999123267389345,-0.3848496041320688,56.54800868034363
1.590451024,-0.079493102,0.327053865,1.405686338,7,0.19993144905591978,-0.31045629573412015,61.97749304771423
1.585632463,-0.079758251,0.342389475,1.390950767,8,0.19997304042604444,-0.3068429871465145,58.98997759819031
