input_theta1,input_x1,input_y1,input_theta0,input_index,output_v0,output_delta0,exec_time_sec
1.570796327,-0.077777778,0.327777778,1.570796327,0,0.19994335881163597,-0.48840698087332085,68.50895524024963
1.577073736,-0.077823282,0.341797058,1.550056715,1,0.19994068273424132,-0.49095455739274285,70.77513265609741
1.581779774,-0.077947256,0.356001465,1.53036627,2,0.19997570278589355,-0.5107530919689641,70.88449335098267
1.584695617,-0.078130357,0.370618777,1.512601144,3,0.19997236886155303,-0.5198455409309092,83.42659544944763
1.585865131,-0.078344639,0.385343437,1.497275216,4,0.19995465403060608,-0.12006018396443986,73.8632562160492
1.585427465,-0.078561806,0.399918618,1.484805218,5,0.15157109373507363,0.25321905747207546,114.77055311203003
1.58361005,-0.078758703,0.414234323,1.475293588,6,0.19991679528671202,-0.48405931895003784,71.58145809173584
1.580653296,-0.078917973,0.428266736,1.468682519,7,0.1999659411959111,-0.485208248281483,73.1148042678833
1.576822649,-0.079026094,0.441881109,1.464892517,8,0.19988330808185206,-0.4762091697367366,68.05606031417847
1.5723886,-0.079076904,0.455257764,1.463366971,9,0.19993179322465196,-0.48687356584986674,72.14446997642517
1.567474876,-0.079065123,0.468569325,1.463904603,10,0.1998854659909848,-0.46030546077584034,68.73849558830261
1.56214224,-0.078984941,0.481893176,1.466583061,11,0.1999303106983298,0.32276797543871233,71.28454899787903
1.556471277,-0.07883091,0.495252372,1.471488033,12,0.199772304908284,-0.4250010119139828,69.52104115486145
1.55059831,-0.078628666,0.5069354,1.479977357,13,0.19107504747078385,0.2007118734821125,81.32115006446838
1.544550576,-0.078419615,0.515917339,1.492587644,14,0.19976940821883216,-0.36395745297601073,72.7244393825531
1.119620251,-0.129181199,0.235573824,1.921644048,40,0.04092816049936481,0.09852759180490885,68.74041652679443
1.133619072,-0.126105944,0.242035514,1.944226546,41,0.04473742961619168,0.0956942654861676,66.53813052177429
1.149670591,-0.122941464,0.248950649,1.966427792,42,0.02918400975428031,0.0860094665046996,62.87401866912842
1.167838539,-0.119705333,0.256354716,1.988187725,43,0.01676978389485859,0.08764295505939028,67.38943934440613
1.188053103,-0.116429225,0.26426047,2.009476784,44,0.069691134445388,0.11417542383924796,61.82213735580444
1.210356657,-0.113131996,0.27272166,2.0303006,45,0.07685732474313224,0.1687616388283384,63.614020586013794
1.235292549,-0.109792039,0.281930024,2.050595108,46,0.11713136079464352,0.15829130840266617,65.92280650138855
1.261902807,-0.106540229,0.291671949,2.070167551,47,0.11722666255889866,0.12476067451723322,67.78719568252563
1.289711602,-0.103450881,0.301840755,2.088771639,48,0.12084328322685363,0.0858116138075373,63.01245307922363
1.318572678,-0.100553265,0.312450853,2.106438777,49,0.19993592642768018,0.05189486477258525,66.2874915599823
1.348456234,-0.09787546,0.323526893,2.123016392,50,0.1794935435039377,0.03767899285360931,66.33346796035767
1.379598585,-0.095429015,0.335194459,2.138430326,51,0.1999757343430916,0.008739191464541062,63.61253833770752
1.41297578,-0.093187595,0.347915937,2.153125884,52,0.19988349706317082,-0.025812690511585627,62.23552989959717
1.448614605,-0.091228336,0.361832461,2.167039653,53,0.1999444388351936,-0.04123372497439379,66.55459904670715
1.486497466,-0.089649304,0.377097194,2.180112537,54,0.19944913639747577,-0.060483301239095365,63.68445611000061
1.52591437,-0.088585185,0.393597952,2.192096066,55,0.19999258978395948,-0.08311670769555027,72.15901517868042
1.566042693,-0.088153744,0.411128472,2.202658021,56,0.19994581630732028,-0.0895325262796429,89.6592607498169
1.606411484,-0.088439903,0.429388102,2.210217257,57,0.19967236991531598,-0.1488548365369787,62.516332387924194
1.645326741,-0.089445824,0.447550952,2.213517067,58,0.19948577564949355,-0.17525126162551966,57.89390707015991
1.681724608,-0.091095338,0.46524055,2.213224243,59,0.1997989989276354,-0.1853464947255269,74.27720856666565
1.715659856,-0.09331023,0.482430797,2.209489331,60,0.19990158808441708,-0.22398620816590684,73.7975537776947
1.747350311,-0.096033845,0.49920673,2.202542534,61,0.19999024298135942,-0.28299215960817764,66.19273352622986
1.777848907,-0.0994149,0.516595343,2.194350716,62,0.1771796711805256,-0.37466867888682487,65.20622611045837
1.806668831,-0.10345799,0.534532722,2.185844339,63,0.16520182416892712,-0.43839950652456894,72.82451248168945
1.833239727,-0.108087388,0.552710544,2.17765115,64,0.14238049706489314,-0.36701323254283164,72.34736466407776
1.857622746,-0.113197436,0.570833268,2.169006243,65,0.15042753846339862,-0.3813216235158923,63.55441904067993
1.880322269,-0.118794235,0.589031204,2.159195753,66,0.15348294246290453,-0.3819653682435518,59.68205976486206
1.901278256,-0.124845409,0.607279515,2.148441541,67,0.15966945429166465,-0.38197110318857036,70.68362379074097
1.920275673,-0.13124655,0.625366259,2.137051404,68,0.17067516728994758,-0.3998209508747198,69.54609394073486
1.937377909,-0.137932185,0.643225847,2.125062811,69,0.19983761545705592,-0.5186921055907034,73.71363949775696
1.952679594,-0.144853321,0.660840505,2.112543157,70,0.1631891948914816,-0.35397622693006947,60.56281137466431
1.966277649,-0.151964018,0.678197013,2.099552804,71,0.1999081426055437,-0.4056552644398443,69.10072445869446
1.978317724,-0.159253276,0.695359278,2.086087721,72,0.17881293194576806,-0.36256901381260587,68.04233837127686
1.988866522,-0.166676478,0.712302849,2.072211623,73,0.17587074486879356,-0.3449935252243054,62.24032211303711
1.998026175,-0.174193143,0.729010198,2.057887483,74,0.19996726799231487,-0.3875974020627009,57.688292264938354
2.005781088,-0.181831352,0.745611391,2.043546206,75,0.19989663357401427,-0.5065671035420655,56.019938468933105
2.012224143,-0.18954893,0.762076585,2.029179469,76,0.17823488952598165,-0.30731316499080463,54.91133737564087
2.017437521,-0.197316043,0.778399532,2.014817384,77,0.17477406651710742,-0.2871342999503717,54.81278443336487
2.021464262,-0.205091387,0.7945474,2.000618806,78,0.19978052674740887,-0.3200801864623412,65.62154960632324
2.024323464,-0.21281619,0.81045038,1.986878165,79,0.1865409586610745,-0.28155805618653307,51.35667896270752
2.026131516,-0.220460545,0.826095091,1.973617273,80,0.18210024350423906,-0.2636242865480035,52.3162202835083
2.027000308,-0.228007131,0.841487756,1.960837823,81,0.19452095111617648,-0.26967766871902593,42.931079387664795
2.027033586,-0.2354434,0.856638393,1.948531403,82,0.17926939989859814,-0.2627583839031169,45.32592010498047
2.026033891,-0.242946594,0.871944434,1.937272243,83,0.19997765125037442,-0.3135474188447419,48.66697669029236
2.0240525,-0.250538286,0.88748996,1.927146654,84,0.19988792447109366,-0.2469506409901228,53.68036770820618
2.02133755,-0.258138318,0.903145975,1.917835562,85,0.100280934232208,-0.16590340384976815,45.23403310775757
2.018005149,-0.265722148,0.918889869,1.909261622,86,0.10578634420618088,-0.16466067398011347,53.92326068878174
2.014128892,-0.273382072,0.934939617,1.901139146,87,0.1997226662060813,-0.22386140033974536,43.83713889122009
2.009762447,-0.281127764,0.951342811,1.89339188,88,0.19996981839882516,-0.2406315684600524,58.97264552116394
1.570796327,-0.077777778,0.35,1.570796327,0,0.1999873626503972,-0.48775000731727336,74.07488799095154
1.57585117,-0.077811957,0.363109054,1.554203136,1,0.19423438577790686,0.18915572355101218,91.34316754341125
1.579559583,-0.077904609,0.376383706,1.538941566,2,0.199933059353688,-0.5195780442264715,71.25450873374939
1.581818388,-0.078039161,0.389904308,1.525622384,3,0.19997622581786026,-0.5184446435092213,73.01580166816711
1.582718763,-0.078195579,0.40348438,1.514475699,4,0.19992553584171444,-0.49395166620170233,69.16168141365051
1.582423595,-0.078355013,0.416986854,1.505566334,5,0.19992345413065005,-0.5025633475856226,73.93519473075867
1.581106389,-0.078501119,0.430282903,1.498941522,6,0.19997011835551803,-0.49593011061391734,70.53482270240784
1.578912713,-0.078620912,0.44327435,1.49470364,7,0.19996629433979765,-0.4936278530808159,73.36771893501282
1.576037997,-0.078705437,0.455935337,1.492703779,8,0.19996876682016906,-0.4612418476382532,71.89451003074646
1.572617527,-0.078749856,0.468555678,1.492638525,9,0.19995750109853996,-0.4985926092890225,67.36342859268188
1.568722155,-0.078748003,0.481148235,1.494599483,10,0.19637778126821998,0.019583194384951968,71.07972240447998
1.564437721,-0.078696835,0.493199502,1.499023835,11,0.19985058885126045,-0.4390179035341522,75.02840733528137
1.559756734,-0.07860484,0.503729446,1.50681831,12,0.19982226102697398,-0.3675064659234232,66.9314079284668
1.554820075,-0.078503232,0.511231398,1.518259908,13,0.19988247348622984,0.3250575779352372,75.42601919174194
1.138326815,-0.124164369,0.234834758,1.932906545,39,0.035431410320773786,0.065038375235559,71.69300580024719
1.152351345,-0.121211513,0.241350908,1.954795805,40,0.009888782232383446,0.06360620932081092,74.507483959198
1.168331205,-0.118181539,0.248313297,1.976322574,41,0.01687161409226636,0.05561336219373495,71.1905267238617
1.186362655,-0.11508813,0.255765416,1.997421274,42,0.011234066022426624,0.05692177581668748,70.10367035865784
1.206379032,-0.111962154,0.263720246,2.018063921,43,0.08019581074578323,0.11394293377382379,71.41178274154663
1.228937744,-0.108774746,0.272368104,2.03821032,44,0.07146092108168708,0.1257884276527015,67.97522854804993
1.254175324,-0.1055512,0.281803386,2.057783284,45,-0.029806321181918463,-0.2775564141528241,59.55300188064575
1.281103062,-0.102430624,0.291781031,2.076424444,46,0.07746309199573263,0.10846746905383665,63.503223180770874
1.309197702,-0.099481144,0.302210896,2.094110282,47,0.15656809525461007,0.07893553125011464,67.58716011047363
1.338305086,-0.096738142,0.313090206,2.110748967,48,0.14033653470193155,0.05580101792190075,66.1114399433136
1.368490656,-0.09422285,0.324481452,2.126220817,49,0.1897262072342906,0.02951261712471925,65.20092225074768
1.400562788,-0.0919108,0.336756469,2.140797458,50,0.18481009864577505,0.00254009748919388,64.91351652145386
1.434841891,-0.08984354,0.350164811,2.154632092,51,0.17096918472990788,-0.4055604148360064,77.34430241584778
1.471325963,-0.088108796,0.364852601,2.16766599,52,0.1996957216679277,-0.04356294490949154,67.25778150558472
1.509697312,-0.086823703,0.380860439,2.179750362,53,0.19603510229490628,-0.06852025680207903,64.30111598968506
1.549088914,-0.086117364,0.39799368,2.190634584,54,0.1981573334218369,-0.09100643793447313,76.77972531318665
1.589039633,-0.086090101,0.416083641,2.199470698,55,0.19990631197303707,-0.12228837805341046,77.75693941116333
1.627856934,-0.086776156,0.434179227,2.204148328,56,0.19999011561625685,-0.15239979804802298,72.7451171875
1.664740505,-0.088126804,0.451975163,2.204783115,57,0.19987056148369212,-0.16144797800454863,75.1703417301178
1.699135661,-0.090061981,0.46927707,2.202004949,58,0.19997330876356056,-0.19847862687524648,60.17847228050232
1.731220201,-0.092515087,0.486121109,2.19594075,59,0.19990337433442767,-0.22922920768918598,62.72082257270813
1.761862417,-0.095568231,0.503290697,2.188093494,60,0.19992734194030576,-0.29733068856740374,54.19367742538452
