input_theta1,input_x1,input_y1,input_theta0,input_index,output_v0,output_delta0,exec_time_sec
1.791054511,-0.099286868,0.52109552,2.179728475,61,0.1871628042262277,-0.3719700908609782,77.00108504295349
1.818506702,-0.103652493,0.539393296,2.171058671,62,0.11778598280910983,-0.29045256513394885,78.9383704662323
1.843135399,-0.108468365,0.557480523,2.16302988,63,0.18570047633766512,-0.45412139936814677,73.39209055900574
1.866152263,-0.113773217,0.575651955,2.153722999,64,0.17580122346155955,-0.42739325316671484,60.331743001937866
1.887448648,-0.119533064,0.593871698,2.143442291,65,0.1998534344647187,-0.5376788315514799,72.4548556804657
1.906878327,-0.125677433,0.612014463,2.132483621,66,0.15862405034462904,-0.3698664135392563,65.5315420627594
1.924414888,-0.13211902,0.629938098,2.120909897,67,0.14779117386967883,-0.32789376874126447,75.19582390785217
1.940150639,-0.138809118,0.647623739,2.10878816,68,0.163928397656196,-0.3526274222388394,61.59881043434143
1.954180292,-0.145701865,0.665057085,2.09617891,69,0.16153792261832442,-0.3348537132385091,68.4507532119751
1.966641529,-0.152774112,0.682274335,2.083065006,70,0.18175014252904353,-0.36571448914028837,67.9134931564331
1.977605074,-0.159995911,0.699286366,2.06954875,71,0.18913335229769648,-0.36413848044380204,66.79988598823547
1.987170067,-0.167328046,0.716077372,2.05559969,72,0.1586569344592425,-0.4507987068081356,66.62361764907837
1.995390588,-0.174761645,0.732696495,2.041365925,73,0.16932989696306333,-0.30065311394869276,56.0592041015625
2.002276937,-0.182288299,0.749188641,2.027117825,74,0.199961158695217,-0.33353024051414215,71.2374312877655
2.007918015,-0.189874718,0.765540116,2.012862677,75,0.1777408776535408,-0.2919646874428756,59.93235945701599
2.012386109,-0.1974906,0.781740409,1.99865529,76,0.17994691175351624,-0.28260423312765726,53.4286744594574
2.015674552,-0.205074142,0.797711118,1.984838039,77,0.17585306709938675,-0.26357293648365826,61.47923398017883
2.017882817,-0.21259683,0.813442301,1.971471626,78,0.1997006742330048,-0.5015331196466893,62.24706220626831
2.019117919,-0.22002961,0.828917285,1.95858452,79,0.19488048304411565,-0.2683447245402413,53.48004603385925
2.019486488,-0.227358913,0.844145816,1.946168777,80,0.19472044248203607,-0.2573044724946654,43.06505537033081
2.018896873,-0.234695892,0.859394939,1.934601191,81,0.18688530868809206,-0.24020660319748693,43.995753049850464
2.017286841,-0.242129114,0.874888059,1.924182859,82,0.18508730622899347,-0.22730413504443883,55.81236147880554
2.014849828,-0.24960378,0.890549067,1.914713131,83,0.19981862652793211,-0.23726682495250467,51.19147992134094
2.011769925,-0.257067205,0.906298397,1.905986686,84,0.08435844450664397,-0.18487560878272166,44.12924265861511
2.008127002,-0.264589806,0.922311676,1.897764389,85,0.1639950621549743,-0.18632903306184423,49.02737736701965
2.003979134,-0.272198075,0.938672788,1.889922137,86,0.19758903853990517,-0.21372418260738218,44.14729905128479
1.999384656,-0.27985963,0.955338814,1.882475358,87,0.19877099834645828,-0.20922867451604113,51.99976992607117
1.994396239,-0.287558222,0.972299239,1.875417362,88,0.19397852875434216,-0.19892194044228212,54.00925898551941
1.989076142,-0.295257788,0.98949695,1.868772403,89,0.1998986127402424,-0.199986821767661,55.67489147186279
1.98350602,-0.30291022,1.006842175,1.86254637,90,0.1877580509146723,-0.183470784434806,64.45912837982178
1.977787013,-0.310483343,1.024273518,1.856625764,91,0.19996451888326305,-0.1915621991121289,58.958150148391724
1.971998247,-0.317952085,1.041738961,1.850913318,92,0.19335128113508313,-0.18021297060888145,62.75226664543152
1.966161951,-0.325312079,1.059230705,1.845403052,93,0.1999199928871221,-0.19398039897053862,62.576133251190186
1.960319709,-0.33257477,1.07677713,1.839964452,94,0.19991872273152678,-0.1771580241409697,62.487600803375244
1.570796327,-0.055555556,0.15,1.570796327,0,-0.013536057625393486,0.5024938075547414,154.99078917503357
1.564367787,-0.055512961,0.162850525,1.591859759,1,-0.03019513744609764,0.4901245535401587,120.46981143951416
1.560052448,-0.0554074,0.175037786,1.609492544,2,0.19724912726587107,0.2673447646469647,83.37425112724304
1.557634965,-0.055268437,0.186612355,1.623403407,3,-0.19996408793608897,0.3249996938192123,78.30075669288635
1.55713121,-0.055111946,0.198249769,1.633159327,4,0.1997260026455571,0.3020176322345174,84.54032826423645
1.558806105,-0.054954611,0.210505264,1.63763118,5,0.1999428652325189,-0.08317226715532142,69.37722373008728
1.562868916,-0.054826295,0.223419833,1.635228135,6,0.1999796912702874,-0.19322698655270537,63.90302228927612
1.569203451,-0.054762515,0.23700095,1.624947929,7,0.199964265013088,0.10010108001271519,73.68904185295105
1.577268843,-0.054799136,0.25137867,1.60689342,8,0.1999205849820776,-0.3791241213398809,60.9887912273407
1.084493771,-0.127773721,0.228397417,1.742301585,47,0.19901185388614537,0.41764565118558017,66.86944341659546
1.059593028,-0.130087531,0.22414703,1.769634404,48,0.19997049671422634,0.3905999389573648,64.79920196533203
1.044954179,-0.130495614,0.223431383,1.796834301,49,0.1999941028164229,0.3789430768081907,68.53558826446533
1.042066746,-0.129085119,0.225853624,1.822512584,50,0.19999410850183116,0.34314415497133693,75.20143175125122
1.048694478,-0.126340829,0.23058665,1.847360344,51,0.2000000099663922,0.30170427372070135,75.52832460403442
1.059527264,-0.123116385,0.236261389,1.87192138,52,0.20000000979270707,0.27153068479267634,69.3740074634552
1.071629511,-0.11983658,0.242190852,1.896601726,53,0.20000000978887106,0.23826726265621773,64.80576610565186
1.084953308,-0.11653381,0.248345302,1.921217607,54,0.20000000980764418,0.1813492377144199,80.43905472755432
1.10041763,-0.113123841,0.254925153,1.945495768,55,0.20000000987548894,-0.10833437129800107,65.86597466468811
1.118220795,-0.109613075,0.261984612,1.969304358,56,0.2000000098774523,-0.1687169441566839,64.34923219680786
1.138286855,-0.106035578,0.269533599,1.992607846,57,0.20000000987669564,-0.21020023714767283,66.57258367538452
1.160529473,-0.102425539,0.277587389,2.015373518,58,0.20000000987356334,-0.24430511704590682,46.09463334083557
1.184868167,-0.098813266,0.28617695,2.037633698,59,0.20000000987533328,-0.2733791363881079,51.78478217124939
