input_theta1,input_x1,input_y1,input_theta0,input_index,output_v0,output_delta0,exec_time_sec
1.552014556,-0.101805793,0.402949665,1.38320987,14,0.19999058732087294,0.19637304326765853,88.09588408470154
1.543787189,-0.101498156,0.416359649,1.385745157,15,0.19993487900958545,-0.3451184674406196,60.09827184677124
1.535506721,-0.101075172,0.429913562,1.389790464,16,0.01710458424464091,0.44858109391289475,83.67392897605896
1.527185752,-0.100528821,0.443736199,1.395387602,17,0.1999076148111199,-0.2982113273893655,55.28180289268494
1.187778238,-0.154042006,0.22561012,1.672821353,37,-0.19996738994061067,0.3663572326523957,59.761298179626465
1.155416413,-0.159527438,0.21259668,1.688777332,38,-0.1332899359712413,0.07426144613331878,47.791796922683716
1.123062236,-0.164432052,0.201938148,1.708785309,39,-0.09670290553268622,0.2959520663897229,56.01626491546631
1.092531151,-0.168395773,0.193992341,1.732643534,40,0.003937260678980974,0.23795345675224325,51.94494009017944
1.067432237,-0.170809071,0.189474163,1.760173221,41,0.04201311341178025,0.3181601566479512,55.333335876464844
1.052080007,-0.171328235,0.188547735,1.788015656,42,0.13698468796713614,0.3086337270896859,68.9026551246643
1.04670242,-0.170272359,0.190385742,1.814277618,43,0.02176762715998284,0.0633739245350736,52.20409679412842
1.049130018,-0.168149801,0.194067999,1.838946359,44,0.14482410099533943,0.2799053643395746,62.451860666275024
1.056814323,-0.165392666,0.198907497,1.862723856,45,0.09020944823174551,0.014223651795666563,57.8749623298645
1.066936978,-0.162425257,0.204225634,1.886056898,46,0.15645423236244374,0.2144510208194264,58.14021897315979
1.078791961,-0.159361217,0.209861648,1.909024973,47,0.17993587087034496,0.19562537724463278,58.74537515640259
1.09253377,-0.156200222,0.215857667,1.931576197,48,0.19935528108193104,0.19629162881485196,62.00237464904785
1.108361629,-0.152937698,0.222274563,1.953669982,49,0.19906663777401443,0.16596265127623486,54.57961344718933
1.126316795,-0.149579248,0.229165938,1.975463094,50,0.19996153203106173,0.14791543503278137,53.47651672363281
1.146344043,-0.146154339,0.236546514,1.996926127,51,0.1999742916295515,0.12284235381601488,53.56502294540405
1.168369611,-0.142696585,0.244427934,2.017987721,52,0.19998175332772078,0.08329782694143341,51.96332907676697
1.19230811,-0.139240386,0.252825456,2.03858075,53,0.19996735543676875,0.07237182665537906,50.82387161254883
1.218166987,-0.135810311,0.261787505,2.058670129,54,0.19999553576210388,0.03803802153776315,52.330979347229004
1.245288569,-0.132487137,0.271210921,2.078359102,55,0.1999989778686694,-0.08024121487338826,55.127172231674194
1.273398863,-0.129323289,0.281040126,2.097453441,56,0.20000000975244384,-0.35441844339679374,58.03944778442383
1.302558974,-0.126347707,0.291281414,2.115543742,57,0.20000000978099164,-0.37089912587750445,52.96833109855652
1.332743461,-0.123587954,0.301952404,2.132416259,58,0.20000000977922905,-0.38456864109299677,49.68852615356445
1.364067617,-0.121065643,0.313111007,2.147785137,59,0.20000000987036068,-0.44050600099325726,54.14262795448303
1.570796327,-0.1,0.216666667,1.570796327,0,0.19965678154380997,0.11929540137735986,69.78836941719055
1.574273441,-0.100026556,0.231416325,1.559248004,1,0.1998693541864122,-0.3730029940992489,54.47371816635132
1.579672399,-0.100122375,0.246656167,1.538779813,2,0.19993912133362413,-0.34455451431036194,61.315011501312256
1.586200029,-0.100319045,0.262645021,1.509834624,3,0.19997791449773097,-0.3214668244934412,64.99089908599854
1.59113695,-0.100611091,0.278840705,1.479889569,4,0.19993443960788218,-0.39158585866567863,63.21852207183838
1.593015857,-0.100960156,0.295144793,1.453915948,5,0.19997830628428934,-0.27678681761810325,70.45789670944214
