input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0,output_v1,time
-0.1,0.15,1.570796327,1.570796327,-0.299635516,0.199765297,0.199765297,0
-0.104308836,0.001719663,1.670678975,1.498211296,0.361526891,-0.199958406,-0.190787574,0.1
-0.099903889,0.180898935,1.570699772,1.576267164,0.401570841,-0.199835813,-0.200056285,0.2
-0.101498267,0.381844623,1.470781865,1.570729487,0.496171814,0.01891273,0.013867477,0.3
-0.093542554,0.629174296,1.48023823,1.515404591,0.614659285,0.19994151,0.197656804,0.4
-0.072883055,0.935821814,1.580208986,1.509441898,0.038572155,-0.199882105,-0.199109075,0.5
-0.072042746,0.955040944,1.480267933,1.542944709,0.421745165,-0.160204015,-0.16253108,0.6
-0.063035976,1.165582028,1.400165925,1.50789539,0.608993457,0.190865852,0.183211391,0.7
-0.032130947,1.46792136,1.495598851,1.454739176,0.587072638,-0.157663747,-0.155134062,0.8
-0.002312243,1.759909238,1.416766978,1.468445174,0.030807523,-0.19998777,-0.199879919,0.9
-0.000866169,1.776290161,1.316773093,1.495600505,-0.021300417,-0.199999887,-0.196431595,1
-0.001303574,1.768452383,1.216773149,1.536621179,0.08805823,-0.199999996,-0.192625385,1.1
0.000639074,1.813123715,1.116773152,1.516040931,0.315027343,-0.20000001,-0.19651568,1.2
0.021070419,1.962119064,1.016773147,1.358286586,-0.132809334,-0.20000001,-0.18400182,1.3
0.012568573,1.907531346,0.916773142,1.484524423,0.035857631,-0.20000001,-0.170550673,1.4
0.014389584,1.927856669,0.816773137,1.477295145,0.190795093,-0.20000001,-0.169640257,1.5
0.028860327,2.009503042,0.716773132,1.317166706,-0.033347803,-0.200000007,-0.163138628,1.6
0.027369561,2.003012158,0.616773128,1.37797948,0.305661872,-0.20000001,-0.165885301,1.7
0.070084243,2.121680805,0.516773123,1.09172713,0.371104014,-0.20000001,-0.188023966,1.8
0.167426239,2.25857001,0.416773118,0.831730321,0.918799094,-0.20000001,-0.22006818,1.9
0.527963467,2.516769654,0.316773113,0.476227108,0.155096009,-0.20000001,-0.199925436,2
0.597522811,2.551966325,0.216773108,0.457117716,0.115834324,-0.20000001,-0.1970085,2.1
0.650171149,2.577246939,0.116773103,0.435635234,0.022210895,-0.20000001,-0.190614838,2.2
0.662812216,2.583272545,0.016773098,0.452944693,0.379789228,-0.20000001,-0.197320203,2.3
0.831899594,2.644139348,-0.083226907,0.249590664,0.291375755,-0.20000001,-0.198544583,2.4
0.970719876,2.670529038,-0.183226912,0.127934185,0.651614166,-0.025142761,-0.043885466,2.5
1.289429167,2.672567303,-0.195798292,-0.079763073,0.429371056,-0.20000001,-0.203626146,2.6
1.502151855,2.649144846,-0.295798297,-0.143840572,0.315573835,-0.20000001,-0.202472289,2.7
1.656946456,2.622372459,-0.395798302,-0.202331868,0.319526179,-0.20000001,-0.202412012,2.8
1.810807685,2.584801443,-0.495798307,-0.278776944,0.396890424,-0.20000001,-0.203854556,2.9
1.9960342,2.520775257,-0.595798312,-0.38603106,0.705774523,-0.20000001,-0.210312394,3
2.306305482,2.360943621,-0.695798317,-0.552447412,0.651612143,-0.20000001,-0.207257538,3.1
2.571790263,2.175220516,-0.795798322,-0.665994749,0.472360734,-0.20000001,-0.204431685,3.2
2.751070021,2.023049899,-0.895798327,-0.744407367,0.448395229,-0.20000001,-0.204474859,3.3
2.908510075,1.865301423,-0.995798332,-0.830123091,0.576818092,-0.20000001,-0.206774244,3.4
3.088770372,1.642884383,-1.095798337,-0.946662205,0.585787493,-0.20000001,-0.20648383,3.5
3.245787364,1.397720484,-1.195798342,-1.054405682,0.551498974,-0.20000001,-0.205775984,3.6
3.369433146,1.152914434,-1.295798347,-1.152131815,0.45634653,-0.20000001,-0.204473193,3.7
3.453233913,0.941992761,-1.395798352,-1.235232196,0.484984244,-0.20000001,-0.205181183,3.8
3.521407762,0.711008675,-1.495798357,-1.332706189,0.673308975,-0.20000001,-0.20827852,3.9
3.578122655,0.381552982,-1.595798362,-1.462440358,0.699762799,-0.20000001,-0.20752847,4
3.595730842,0.033807722,-1.695798367,-1.575474811,0.620767425,0.20000001,0.191102696,4.1
3.580681517,-0.275460255,-1.595798362,-1.636075558,0.620767422,0.20000001,0.202337408,4.2
3.565587538,-0.58530361,-1.495798357,-1.593177086,0.620767425,0.20000001,0.205087903,4.3
3.5704563,-0.894800768,-1.395798352,-1.513498368,0.620767425,0.20000001,0.205905855,4.4
3.602264082,-1.202343955,-1.295798347,-1.420742405,0.781412442,0.20000001,0.208178839,4.5
3.683356809,-1.582848141,-1.195798342,-1.304371074,1.268866548,-0.20000001,-0.185072983,4.6
3.880710589,-2.18500741,-1.295798347,-1.253512813,1.620175773,-0.20000001,-0.206670188,4.7
4.098099518,-2.964631695,-1.395798352,-1.346897442,5.427508922,0.20000001,0.173230491,4.8
4.681636975,-5.611018812,-1.295798347,-1.307756435,10.89063729,0.20000001,0.21300852,4.9
-0.1,0.172222222,1.570796327,1.570796327,0.02194981,0.040068856,0.040068856,5
-0.099965022,0.183222217,1.590830755,1.564601631,0.013194046,0.199756271,0.199722164,5.1
-0.099797119,0.190701344,1.69070889,1.533492086,0.183549821,-0.199797914,-0.194459942,5.2
-0.099328916,0.281360153,1.590809933,1.589643422,0.387013123,-0.084356451,-0.084311248,5.3
-0.103392757,0.474855761,1.548631708,1.589461937,0.52513397,-0.057262296,-0.05935811,5.4
-0.104778705,0.737301681,1.52000056,1.562457827,0.394963332,-0.199546044,-0.201042621,5.5
-0.101706363,0.934839392,1.420227538,1.539632558,0.334488805,-0.088139955,-0.091496851,5.6
-0.092306311,1.101184574,1.37615756,1.48961394,0.611067372,0.183141971,0.175046416,5.7
-0.055090012,1.40376647,1.467728546,1.432151244,0.591346428,-0.076529436,-0.074377601,5.8
-0.017947158,1.697040407,1.429463827,1.448629074,0.127490568,-0.199989838,-0.200197434,5.9
-0.01076707,1.760938946,1.329468908,1.46498864,0.058092449,-0.199999963,-0.198951072,6
-0.007798163,1.79120412,1.229468927,1.479071566,0.069428178,-0.19999993,-0.195517071,6.1
-0.004485306,1.827156659,1.129468962,1.476788572,0.262193503,-0.20000001,-0.196982205,6.2
0.014678723,1.952567232,1.029468957,1.362600127,-0.133998346,-0.20000001,-0.184622829,6.3
