input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0
0,-0.0999999999999998,0.15,1.5707963267948966,1.5707963267948966,-0.040815283,0.16742662
1,-0.10029979475002287,0.13011730913506564,1.6545096347716193,1.539074179233529,-0.060367417,0.22528222
2,-0.1018906082002541,0.10283486958372923,1.7671507457878928,1.4824664111056123,-0.07587075,0.28645092
3,-0.10571824453610847,0.07382737896125233,1.910376207032476,1.3893781863654298,-0.053406164,0.3286472
4,-0.10821373559548526,0.06285879729296716,2.0746998051789145,1.2921471825194848,0.06815755,0.10900629
5,-0.10138618222343512,0.09014465900109353,2.1292029517379145,1.3587828285800325,0.089166,0.06208799
6,-0.095639897220676,0.12469286604573347,2.1602469469097,1.451229937959958,0.091891855,0.05732055
7,-0.09285235929175319,0.16214260158224708,2.188907221951757,1.5398884777452277,0.093365684,0.05315222
8,-0.09330936004390639,0.20165953908924414,2.2154833311822753,1.6230929529370357,0.10548024,-0.0021006465
9,-0.097784603388212,0.24644972579738672,2.2144330079343657,1.7144988008569333,0.11878571,-0.0792955
10,-0.10783404905356116,0.2977245927530087,2.1747852573778967,1.809119371327089,0.11547044,-0.10737197
11,-0.1224967547781998,0.34919918955960033,2.121099271872316,1.8830328070996394,0.118027255,-0.13224782
12,-0.14160124933143917,0.40281360016920753,2.0549753616240363,1.9389718959682458,0.13212807,-0.14410405
13,-0.1664206656577862,0.46341055037193596,1.9829233373191695,1.976017051467131,0.15101457,-0.13396601
14,-0.19683935853612686,0.5327022381402284,1.915940330424581,1.9895139618962934,0.16001633,-0.11586757
15,-0.229250223281928,0.6060376169296211,1.858006545403276,1.9821139794420624,0.16514298,-0.10071017
16,-0.26145578439730127,0.6819563236774338,1.8076514611628394,1.9605572993799192,0.16060704,-0.107348695
17,-0.29092988942955295,0.7564088280306601,1.7539771134641509,1.9337261690129588,0.15609631,-0.11170454
18,-0.31739640990060247,0.829430763965563,1.698124841847692,1.9022394547430377,0.15203956,-0.099661455
19,-0.34062796574955695,0.9011350114082778,1.6482941145685057,1.8654352246476158,0.14672688,-0.08588238
20,-0.3603343465047398,0.9709451566867017,1.6053529242661337,1.8262552895873638,0.1426734,-0.07776405
21,-0.3767905154613379,1.0394500986298603,1.566470899679933,1.7868614851131792,0.13892622,-0.07081765
22,-0.3901883272738331,1.106701226145189,1.5310620749976973,1.7481524999935913,0.13459617,-0.06504618
23,-0.4006865662555327,1.172308920174671,1.4985389868405203,1.710957813752012,0.13092221,-0.060935244
24,-0.4085751825732149,1.2364825957804109,1.4680713648584227,1.675445694870586,0.12790209,-0.058447033
25,-0.41410727567861383,1.2994440373205773,1.43884784827498,1.641593008610667,0.12550783,-0.05748029
26,-0.4174916094943186,1.3614144509622448,1.410107703008924,1.60924286591759,0.12330109,-0.057410523
27,-0.418888084444007,1.4224072920287167,1.3814024413612227,1.5782137741039572,0.12090421,-0.057687044
28,-0.41843714566568063,1.4822572166531727,1.3525589192893843,1.5483450140561315,0.11897901,-0.058992103
29,-0.41626134869151477,1.5411394401928549,1.3230628679182868,1.519360782984249,0.11747286,-0.061175883
30,-0.41244648098491754,1.5992077330622863,1.2924749265101294,1.4909559093019824,0.11633009,-0.064086184
31,-0.4070453087848717,1.6565902228123828,1.2604318345573287,1.4628107554729097,0.11965543,-0.06485316
32,-0.39978696025163685,1.7153879745758636,1.2280052537706236,1.4330431810824775,0.12694302,-0.06484628
33,-0.39015407615432607,1.7774444867462709,1.1955821151521544,1.4005546805740237,0.12193629,-0.039683297
34,-0.37895606691309913,1.8365579088644848,1.175740466513906,1.3670776453266726,0.11251664,-0.012372687
35,-0.36686458533909655,1.8906953728832407,1.16955412278441,1.3358266003304355,0.0906322,0.027290791
36,-0.35587838784397063,1.9339554310642686,1.1831995184209685,1.3093920464601538,0.03602846,0.07019547
